500	21	940	83	217
56	969	468	751	606
477	348	179	693	135
13	142	966	748	160
249	224	517	73	235
594	985	707	332	372
294	540	928	97	801
677	860	518	77	77
650	903	547	169	948
459	546	688	61	595
247	503	641	140	100
946	88	250	998	190
538	788	703	922	255
859	302	284	463	388
780	145	109	873	275
262	277	699	681	426
303	434	937	51	571
768	703	437	694	706
802	326	430	544	19
785	374	686	628	425
858	70	185	964	523
615	430	99	850	914
355	230	73	820	73
463	371	225	66	825
777	157	824	673	523
477	279	377	862	254
802	448	375	30	349
255	855	339	669	102
799	807	679	419	555
438	656	38	221	683
236	457	791	192	307
971	107	789	897	396
273	98	161	998	710
863	512	571	933	272
462	429	55	649	385
709	231	898	426	964
610	762	87	832	638
680	57	842	272	861
629	816	223	329	781
792	453	422	969	780
404	281	360	453	477
339	415	949	559	441
650	853	943	949	742
564	179	13	231	900
168	184	449	477	486
276	636	36	997	145
309	411	256	414	219
125	768	751	171	257
907	881	777	610	774
281	696	673	778	74
772	357	601	626	911
421	615	298	659	688
897	849	569	148	767
18	858	317	163	562
266	207	752	720	489
994	436	472	356	832
814	627	847	449	372
375	827	35	597	439
490	757	178	13	387
232	501	606	590	979
543	255	300	102	809
869	728	204	573	958
480	473	844	849	612
727	359	904	177	765
980	665	257	992	786
82	258	879	252	329
414	80	343	746	30
915	253	14	494	244
396	525	198	696	492
347	159	184	503	930
669	438	384	182	645
757	682	396	928	129
447	278	698	289	976
732	461	319	801	319
681	241	668	18	864
440	495	601	907	457
921	397	732	938	614
945	869	163	860	284
842	303	977	636	803
747	779	820	946	321
891	492	947	913	712
719	314	2	740	141
722	990	934	954	820
669	650	234	679	687
749	282	69	891	765
525	853	82	244	299
712	742	152	995	624
12	83	561	117	592
469	857	122	911	789
96	48	845	785	351
336	852	45	939	679
925	833	752	942	15
937	20	433	497	676
982	166	659	495	34
60	867	494	917	16
526	433	726	361	980
661	848	35	936	16
861	499	308	86	985
704	253	39	329	315
950	671	958	702	431
970	294	135	771	880
909	726	484	42	294
681	799	700	190	422
288	546	907	369	283
277	404	65	891	450
308	132	682	704	289
829	606	305	556	19
51	934	450	333	877
527	616	751	923	234
222	996	222	139	324
754	486	262	694	102
774	39	706	787	826
318	346	310	84	762
992	367	338	273	502
995	108	741	33	945
356	434	674	40	6
129	381	81	757	585
6	969	192	407	847
588	440	98	77	853
604	873	730	264	826
468	273	581	116	381
892	741	63	633	48
903	963	985	226	239
654	303	2	147	54
620	966	545	314	847
800	38	211	100	148
468	633	440	531	840
117	797	637	794	962
850	706	287	12	88
457	644	30	153	401
463	470	727	837	384
403	43	695	470	278
932	484	764	282	113
445	323	441	351	39
702	616	527	352	893
320	27	320	209	79
180	920	425	360	556
347	12	527	899	5
862	590	185	72	254
443	926	130	360	59
777	517	812	564	591
285	443	443	832	540
302	3	665	947	473
875	47	73	302	190
238	848	558	505	157
180	199	912	758	367
590	670	129	813	666
366	369	541	500	782
347	806	462	778	132
357	641	511	625	979
141	833	876	80	713
852	546	515	394	683
3	478	239	198	5
933	916	32	916	925
420	527	865	114	181
850	473	263	299	211
545	169	709	874	14
897	483	674	544	498
317	271	185	970	319
843	646	168	804	312
675	344	845	350	41
705	24	897	570	449
115	314	570	305	621
200	206	93	860	862
975	742	33	731	494
792	936	889	233	533
999	540	718	706	204
768	107	307	287	449
208	4	143	78	186
668	896	153	93	422
422	189	348	304	739
439	622	857	526	898
203	308	631	508	648
15	377	880	396	124
110	420	964	900	148
744	541	683	328	78
795	876	507	468	596
156	561	923	789	111
574	962	514	482	890
652	282	582	946	45
900	263	494	872	212
622	386	380	874	136
639	574	636	817	253
923	872	719	202	156
94	330	235	634	79
648	221	737	582	249
277	795	139	324	727
106	294	920	6	395
426	447	991	480	884
160	696	731	481	750
528	198	826	890	868
523	306	53	889	812
893	887	726	675	910
460	892	847	544	205
911	38	673	795	222
704	91	113	621	161
703	477	330	996	670
358	575	190	648	896
384	573	964	644	336
84	738	153	255	482
127	620	52	367	480
103	481	100	302	956
161	601	313	944	966
336	287	240	639	941
146	916	499	132	949
156	357	632	202	621
853	731	355	654	856
921	543	7	963	684
82	550	462	441	808
153	719	335	183	232
711	521	11	143	856
851	830	580	691	600
509	597	503	291	332
253	119	920	164	69
676	620	479	542	855
747	431	587	969	990
72	732	191	312	252
421	188	89	189	601
411	432	841	628	492
334	779	129	406	180
676	938	570	564	764
111	871	451	484	666
62	519	841	485	721
332	483	686	262	536
426	258	785	315	803
243	22	57	716	979
800	962	929	893	703
397	583	95	637	892
473	973	414	990	940
452	905	281	320	826
224	341	147	768	833
230	338	149	831	653
423	19	615	107	284
310	560	18	457	146
314	648	77	635	690
202	593	526	215	583
339	17	859	490	282
938	69	226	851	275
408	892	757	545	385
281	161	652	884	526
2	250	727	81	908
206	898	439	730	971
77	82	69	550	163
879	995	6	628	529
64	809	900	14	909
242	463	856	27	738
645	523	443	352	808
85	360	953	91	775
747	278	784	524	269
426	164	50	678	45
685	468	982	556	881
445	695	773	13	688
407	360	271	929	386
485	603	548	812	377
983	82	151	680	397
914	600	383	335	616
11	204	704	691	214
716	304	581	772	338
712	212	185	419	588
509	684	425	309	602
188	692	109	838	990
944	50	702	469	192
352	253	317	653	582
172	108	922	734	151
131	243	788	250	551
826	780	269	839	258
128	12	180	194	121
219	294	625	743	557
200	232	998	347	745
263	83	891	930	821
23	35	578	502	391
168	339	730	660	821
93	135	605	618	684
367	4	767	315	252
488	82	206	505	459
64	308	314	513	525
290	245	954	574	898
276	371	876	636	131
114	427	889	843	357
710	934	993	235	727
171	696	101	911	267
530	76	12	692	583
316	799	710	879	629
221	498	781	970	599
963	393	76	735	391
993	186	557	863	326
219	498	844	333	700
477	831	866	382	709
509	389	983	916	40
916	667	94	501	771
562	351	658	366	19
497	72	120	469	163
56	316	167	86	779
181	794	693	223	651
75	661	47	602	725
886	1	841	138	27
625	683	766	611	283
880	126	704	986	816
933	34	500	776	580
387	874	854	682	412
572	513	838	356	344
540	181	504	386	957
525	667	662	398	642
117	523	101	837	698
249	975	459	373	293
619	191	481	652	167
311	546	320	661	406
875	916	534	495	952
346	456	291	453	206
322	592	694	657	833
